Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,5.02779769897461,-10.9090909957886,6.458926,8.337001,15.59393,16.32324,13.84177,12.862,7.468307,7.227559,9.057049,9.084783,12.15004,9.734076,3.603496,6.761058,9.728687,9.440027,7.541864,7.450249,7.484865,3.471791,0.9742283,1.694869,2.024808,4.635587,3.353003,-0.4131604,0.8823764,1.044624,4.187311,4.259913,3.001119,2.34946,2.027639,2.142798,1.969738,2.453655,3.600818,2.312488,2.694695,2.153005,2.130459,2.400281,2.588035,2.462425,1.812424,1.604483,1.269041,0.6798787,-0.004077226,1.406068,5.545571,5.309686
Austria,3.68415403366089,5.19054317474365,6.36942195892334,7.38014221191406,9.84193706512451,9.35238170623779,10.1720399856567,6.07502698898315,3.7351861000061,3.77520990371704,5.50611305236816,5.24490308761597,5.73823976516724,4.28355503082275,5.46426677703857,3.6607460975647,3.65335988998413,2.10369110107422,2.65088605880737,2.70200610160828,2.89357089996338,3.40629196166992,4.34241008758545,4.27331495285034,3.26078796386719,2.27886009216309,1.51474797725678,1.10456597805023,1.19619798660278,0.731344103813171,1.65517199039459,2.6142098903656,2.15616989135742,1.40949201583862,1.77794504165649,1.68917500972748,0.916666686534882,1.61849701404572,1.94214200973511,1.76962900161743,1.40988504886627,2.35041904449463,2.09249305725098,2.07353091239929,1.97671699523926,1.84561800956726,1.46678900718689,1.9712530374527,1.81232404708862,1.65348100662231,1.899783,2.15,5.47947970396949,7.74055499377888
Belgium,5.29435539245606,1.03308570384979,1.63601410388947,18.2544975280762,-3.58503007888794,-6.4827446937561,5.99171304702759,7.95832586288452,6.14842700958252,4.1694769859314,-9.19345188140869,22.9658126831055,7.11664819717407,8.37105178833008,6.0852861404419,11.7994775772095,5.71580314636231,3.73825788497925,2.28630900382996,2.61958909034729,2.8689239025116,4.19974899291992,3.55356192588806,3.49459910392761,2.66060996055603,1.76223504543304,1.88192498683929,-5.3413553237915,1.76254904270172,1.31473898887634,1.82563698291779,2.15293097496033,-8.17771148681641,24.4378204345703,1.86899995803833,2.13902091979981,0.60689640045166,1.63050103187561,1.93688201904297,1.94006299972534,1.39860796928406,1.80744099617004,2.23645997047424,1.35137403011322,1.57419300079346,1.36930096149445,1.9594349861145,1.51535594463348,1.31288802623749,3.76876759529114,1.479317,1.613,4.56434743065031,6.62592865107072
Canada,3.60821,2.87411,4.75703,6.331415,10.00831,10.17295,7.985262,7.544038,7.63572,8.363771,9.488149,11.11801,10.69509,6.177805,3.879261,4.048444,5.289878,4.493157,4.698497,5.432694,4.458598,6.229199,2.054381,1.929931,0.1394825,2.148216,1.512197,1.607216,1.398026,1.479119,1.680033,2.090829,2.684908,2.419907,1.340702,1.356565,1.272842,2.03976,1.064956,1.687692,1.335163,1.432658,1.354939,0.8284461,1.562716,2.552079,2.02164,1.778912,2.024031,2.292573,1.291251,2.397,5.06481895395621,4.12586930606125
Germany,3.631961,5.522059,5.493636,6.391919,6.821723,5.7249,3.990397,3.709168,2.997568,3.311449,5.279555,5.773224,4.788512,3.826226,2.491808,2.138662,0.8416129,1.206886,1.792483,2.705096,2.525961,3.855886,5.63017,5.430705,2.797233,2.01915,1.607572,1.963621,1.207862,0.6215019,0.8277841,0.8326233,1.558507,0.9428621,1.708155,1.064219,1.128121,1.935296,1.440643,1.274013,0.7095259,0.9187876,1.284642,1.260626,1.369097,1.666498,1.206361,1.227763,1.309285,1.492327,0.9620782,2.13,3.92795585734613,5.04358294650815
Denmark,-5.94367027282715,5.55548191070557,6.35682392120361,16.4080810546875,14.0469303131104,9.63303947448731,34.7406120300293,10.4888896942139,10.6093196868897,8.87203788757324,10.371660232544,10.1900501251221,9.84206676483154,8.06278419494629,6.47829008102417,-1.95121955871582,-1.60033166408539,-14.0389318466187,5.17115592956543,4.70935297012329,3.37677693367004,2.95504093170166,2.54517698287964,1.75785899162293,2.00273609161377,1.92599201202393,1.80275499820709,1.85002303123474,1.63393700122833,2.47712206840515,2.16001009941101,2.20001292228699,2.51628398895264,2.32415008544922,1.29843997955322,1.38369703292847,1.40386497974396,1.41358196735382,13.4638652801514,2.25895309448242,1.83712005615234,1.80751001834869,1.89507794380188,1.21017801761627,0.873021483421326,-19.0771064758301,2.0545072555542,14.4720621109009,0.649819314479828,0.764254808425903,0.9335784,1.2,4.03156895323997,4.31171860881565
Finland,2.54237508773804,6.26089000701904,6.20507287979126,10.5046997070313,14.928560256958,17.4971904754639,14.3674697875977,10.4591903686523,8.85093116760254,8.33246421813965,10.2518100738525,10.2192497253418,9.00675964355469,9.29349231719971,7.6644082069397,4.94466304779053,3.48008394241333,4.6191520690918,6.49791479110718,7.5406608581543,6.51911592483521,4.76941013336182,3.58384299278259,2.19654607772827,1.53614294528961,2.90104699134827,0.283356904983521,1.08867299556732,1.59486997127533,1.22997200489044,2.55902600288391,2.6210949420929,1.54385900497437,0.614233016967773,-0.212238296866417,0.185902997851372,1.27095997333527,2.64087009429932,2.54966998100281,0.39874279499054,1.18944799900055,2.04166698455811,2.27031397819519,0.982192814350128,1.46291303634644,0.561922609806061,0.96338152885437,0.658687591552734,0.681438028812408,0.82913202047348,0.504051029682159,1.726,4.16477003319109,6.64480589767376
France,-1.11438131332398,-17.5773773193359,5.95556402206421,7.0728178024292,12.1518201828003,-1.8422464132309,9.19454574584961,8.52650928497315,9.35510063171387,-15.1389999389648,13.143349647522,12.5049695968628,11.271089553833,9.46740245819092,23.5944786071777,5.65746307373047,4.15440702438355,3.97162508964539,3.12796211242676,3.18836998939514,3.07447099685669,3.40749788284302,3.16279292106628,2.63785791397095,1.85688602924347,1.90529894828796,1.92048501968384,1.12929403781891,2.13389468193054,0.297663986682892,0.79488468170166,-21.753984451294,1.79308295249939,2.09758710861206,2.16755700111389,1.54024803638458,1.2861909866333,-11.3489847183228,14.6310052871704,-11.6770715713501,17.0155544281006,1.10293459892273,1.34713304042816,0.868492484092712,0.995363175868988,0.551420986652374,0.419813096523285,8.9408655166626,1.00579702854157,0.739262521266937,0.9701529,0.956,2.77483285577842,3.36954824897229
United Kingdom,-3.41356039047241,9.110034,6.826036,8.620473,13.82768,22.05399,15.50014,15.50164,9.599193,13.20862,18.23246,11.11149,8.20563,4.419418,5.221992,6.857926,4.525228,4.795882,5.593335,8.30204,9.701984,5.786047,4.114183,1.392592,2.514458,3.330251,2.146286,1.876615,1.444959,0.7393715,0.07555316,1.067731,1.483299,1.28286,1.069352,1.440265,1.7,1.9,1.9,1.6,2,2.8,2.1,1.9,1.6,1.3,1.6,2.3,1.9,1.7,1.5,2.3,5.34197586052749,5.85738539898133
Greece,9.39597320556641,2.70330691337585,4.56011819839478,15.4202499389648,24.0609893798828,14.2714700698853,12.7332696914673,11.8328695297241,12.001540184021,19.3271007537842,23.747880935669,22.6716995239258,20.872579574585,20.8796405792236,18.4963207244873,19.3477897644043,1.56313383579254,17.6041297912598,14.2651500701904,12.7934904098511,18.4857501983643,7.68140697479248,16.7936496734619,16.007890701294,-12.512773513794,30.3149890899658,8.55221652984619,7.3023099899292,5.97726821899414,3.60715794563294,2.16196608543396,3.34786701202393,3.41970205307007,5.92914247512817,3.17825102806091,3.15541291236877,2.44984102249146,2.73680400848389,6.94786643981934,2.23129796981812,3.39144492149353,1.87688601016998,0.20465350151062,-2.02278089523315,-1.24497401714325,-1.01358902454376,-1.13368999958038,0.454138189554215,22.301197052002,-2.43315005302429,-0.6744373,-0.624,3.33851885671899,4.97358315858276
